car,year,engine_hp,avg_mpg,price,salesman,dealership,sold_date,sold_month
Corvette,2011,335.0,22.5,46135,2,Big Bobs,2012-05-06,5
Corvette,2011,300.0,23.5,40650,2,Uptown Cars,2011-05-16,5
Corvette,2011,300.0,24.0,36350,2,Uptown Cars,2013-07-31,7
Corvette,2011,230.0,23.0,29450,2,Uptown Cars,2014-07-05,7
Corvette,2011,230.0,23.0,34500,2,Uptown Cars,2013-05-20,5
Corvette,2012,230.0,23.0,31200,3,Car Town,2013-04-10,4
Corvette,2012,300.0,21.5,44100,3,Uptown Cars,2015-12-13,12
Corvette,2012,300.0,24.0,39300,2,Big Bobs,2013-05-19,5
Corvette,2012,230.0,23.0,36900,3,Uptown Cars,2015-04-27,4
Corvette,2013,230.0,22.5,37200,2,Car Town,2013-12-15,12
Corvette,2013,300.0,24.0,39600,3,Big Bobs,2015-05-30,5
Corvette,2013,230.0,23.5,31500,2,Uptown Cars,2014-03-21,3
Corvette,2013,300.0,23.5,44400,3,Uptown Cars,2016-03-18,3
Corvette,2013,230.0,23.5,37200,3,Uptown Cars,2013-02-19,2
Corvette,2013,230.0,23.5,31500,3,Car Town,2013-10-27,10
Corvette,2013,320.0,21.5,48250,2,Car Town,2016-01-27,1
Corvette,2013,320.0,24.0,43550,3,Big Bobs,2014-03-25,3
Corvette,2016,240.0,29.0,32850,3,Car Town,2017-03-03,3
Corvette,2016,240.0,28.5,38650,4,Car Town,2016-12-21,12
Corvette,2016,320.0,25.5,48750,3,Car Town,2018-04-30,4
Corvette,2016,240.0,29.0,34850,4,Car Town,2019-06-21,6
Corvette,2016,240.0,28.0,40650,2,Big Bobs,2016-05-07,5
Corvette,2016,320.0,25.5,44150,3,Uptown Cars,2019-12-22,12
Corvette,2016,240.0,28.0,32850,3,Big Bobs,2017-06-08,6
Corvette,2016,320.0,25.0,46150,3,Uptown Cars,2016-02-02,2
Corvette,2016,320.0,25.0,50750,3,Car Town,2016-08-20,8
